"X","...1","s.gender","s.level","infect","read.amt","pre.readf1","pre.readf2","pre.readf3","pre.readf4","pre.readf5","pre.readf6","post.readf1","post.readf2","post.readf3","post.readf4","post.readf5","post.readf6","stress.1","stress.2","stress.3","stress.4","stress.5","stu.engage.1","stu.engage.2","stu.engage.3","stu.engage.4","stu.itcap","learn.per1","learn.per2","gpax.y1","gpax.y2","gender","t.exp","t.itcap","climate.pro.1","climate.pro.2","climate.pro.3","climate.pro.4","climate.pro.5","climate.pro.6","t.mode","location","internet","it.equip"
53,53,1,1,2,1,1,3,4,1,1,2,1,2,4,4,1,4,4,2,4,3,2,2,2,1,1,1,13.5,0.38,2.76,1.6,2,2,3,5,5,3,4,5,5,1,"C",2,1
54,54,2,1,2,3,1,4,4,2,1,1,1,1,4,4,1,4,3,2,2,2,1,5,5,5,5,3,10.4,18.28,2.7,2.68,1,1,2,1,1,3,1,1,1,1,"C",2,2
55,55,2,1,2,3,1,2,1,1,1,1,1,2,4,4,1,4,4,2,3,2,2,5,5,4,5,2,11.4,13.83,2.55,2.29,2,2,3,5,5,5,5,5,5,1,"C",2,1
56,56,2,1,2,2,1,2,3,2,1,2,1,3,4,3,1,4,4,5,5,5,5,3,4,3,3,1,15.8,1.54,3.63,2.51,2,2,3,5,5,5,5,5,5,1,"C",2,1
57,57,1,1,2,3,1,2,2,2,2,1,1,1,4,4,1,4,2,1,2,1,1,5,4,4,5,3,13,19.47,2.58,2.57,1,2,3,3,1,3,3,3,2,1,"C",2,1
58,58,2,1,2,3,1,3,1,3,1,2,1,4,4,4,1,4,3,2,3,2,3,5,4,5,5,2,10.5,17.45,2.38,2.28,2,1,3,5,4,5,5,5,5,1,"C",2,3
59,59,1,1,2,3,4,4,3,1,1,3,1,1,4,4,1,4,4,2,4,4,3,3,2,1,2,1,10.8,3.67,2.84,1.93,1,3,1,1,1,3,1,1,1,1,"C",2,1
60,60,1,1,2,2,1,2,3,1,1,1,1,2,4,4,1,4,2,2,3,2,1,3,4,4,5,3,14.9,17.99,2.52,2.45,2,2,1,3,2,3,4,4,4,1,"C",2,1
61,61,1,1,1,3,1,2,4,2,1,2,1,4,4,4,2,2,3,2,3,2,1,3,4,4,5,3,9.5,11.29,2.3,1.77,1,1,3,1,1,2,1,1,1,1,"C",2,1
62,62,1,1,1,2,2,3,2,1,1,1,1,3,4,4,1,4,4,2,4,4,4,2,1,1,1,1,10.2,2.82,2.61,1.47,2,2,3,4,3,5,5,5,5,1,"C",2,0
63,63,1,1,2,2,4,3,4,2,1,3,1,4,2,4,1,4,2,1,3,2,1,5,4,4,5,3,13,18.7,2.93,2.9,1,3,1,1,1,2,2,3,1,1,"C",2,2
64,64,2,1,2,3,1,3,2,3,1,1,1,1,4,4,3,4,3,2,3,2,1,5,5,4,5,3,18.3,18,3.05,3.04,1,1,2,1,1,1,1,1,1,1,"C",2,2
65,65,1,1,2,3,1,1,4,2,1,1,1,3,4,4,1,4,5,4,5,5,5,2,1,1,1,1,16.5,0.06,3.67,2.35,1,2,2,1,1,2,3,1,1,1,"C",2,0
66,66,1,1,2,3,1,3,4,1,1,3,1,4,4,2,1,4,3,2,3,2,1,5,5,4,4,3,8.3,19.58,2.15,2.13,2,1,1,1,1,1,2,1,1,1,"C",2,2
67,67,1,1,2,2,1,1,4,1,1,2,1,4,4,4,1,3,1,1,1,1,1,5,5,5,5,3,10.6,19.92,2.37,2.36,2,2,3,5,5,5,5,5,5,1,"C",2,2
68,68,1,1,2,2,1,2,4,1,1,4,1,3,4,4,1,3,1,1,1,1,1,5,5,5,5,3,10.6,19.77,2.64,2.64,2,1,2,1,3,3,3,2,3,1,"C",1,3
69,69,1,1,2,2,1,2,4,1,1,3,1,2,4,3,1,4,3,2,3,3,3,3,2,2,3,1,10.1,5.18,2.48,1.62,2,2,1,3,2,3,3,4,4,1,"C",2,1
70,70,1,1,1,3,1,4,4,1,1,3,1,1,4,4,1,2,3,2,3,2,2,5,3,3,2,2,13.3,13.35,2.76,2.46,1,2,3,4,2,2,3,4,2,1,"C",2,1
71,71,1,1,1,3,1,4,4,1,1,2,1,3,4,4,2,3,4,4,4,4,4,3,3,1,2,1,12.9,0.85,2.98,1.69,2,2,2,4,1,3,4,2,5,1,"C",2,0
72,72,2,1,2,3,1,3,2,2,1,3,1,4,4,4,1,4,4,2,4,3,2,5,4,4,4,1,12.6,13.64,2.47,2.14,2,3,1,4,3,3,2,4,3,1,"C",2,1
73,73,2,1,2,3,1,3,2,4,1,2,1,1,3,4,1,4,3,2,3,2,1,5,5,5,5,3,13.1,19.77,3.63,3.6,2,1,3,5,5,5,5,5,5,1,"C",1,1
74,74,2,1,1,3,1,4,1,3,1,2,1,3,4,2,1,4,3,2,3,2,2,5,5,4,5,3,15.2,16.27,2.94,2.9,1,1,2,1,1,1,1,1,1,1,"C",2,2
75,75,1,1,2,3,1,4,4,1,1,1,1,1,4,3,1,3,3,2,3,2,1,5,3,4,2,3,7.6,16.21,2.21,2.05,2,2,1,4,2,3,4,2,1,1,"C",2,2
76,76,1,1,1,3,2,2,4,1,1,4,1,1,4,3,1,1,3,2,3,4,2,3,2,3,4,2,7.7,5.33,2.39,1.51,2,3,1,4,3,3,4,4,5,1,"C",2,0
77,77,2,1,2,2,1,2,3,4,1,4,1,1,4,4,2,4,5,5,5,5,5,2,1,1,1,1,13.8,0.11,2.76,1.48,2,2,2,4,3,3,4,5,4,1,"C",2,0
78,78,1,1,2,2,1,3,2,1,1,3,1,1,4,4,1,3,3,2,3,2,2,4,4,4,4,3,13.5,19.92,3.12,3.1,2,3,2,4,3,3,3,4,4,1,"C",2,1
79,79,2,1,2,2,1,3,1,1,1,4,1,4,3,4,1,4,3,2,3,2,1,5,4,4,5,3,11.2,18.46,2.47,2.4,2,2,3,5,4,5,5,5,4,1,"C",1,0
80,80,2,1,2,3,1,1,1,1,1,4,1,4,4,4,1,4,3,2,3,2,1,5,5,5,5,3,7.3,19.45,2.13,2.13,2,2,3,5,5,5,5,5,5,1,"C",2,2
81,81,1,1,1,1,1,4,4,2,1,4,1,2,4,4,1,4,3,2,3,2,1,4,3,3,4,3,16.4,14.95,3.4,3.2,2,2,3,4,5,3,5,5,5,1,"C",2,2
82,82,1,1,2,3,1,3,4,1,2,2,1,2,4,2,1,4,2,1,1,1,1,5,5,5,5,3,9.4,19.83,2.23,2.21,2,3,2,5,5,5,5,5,5,1,"C",2,2
83,83,1,1,1,3,1,4,4,2,1,1,1,3,4,4,1,4,1,1,1,1,1,5,5,5,5,3,12.7,19.9,3.12,3.02,1,2,2,1,1,3,3,2,1,1,"C",2,3
84,84,2,1,1,3,1,4,1,1,1,2,1,4,4,4,2,4,1,1,1,1,1,5,5,5,5,3,12.9,19.69,2.88,2.86,2,2,2,4,3,5,4,4,4,1,"C",2,3
85,85,2,1,2,3,2,2,1,2,1,1,1,4,4,4,2,3,3,2,3,2,2,5,5,5,5,3,10.3,17.23,2.75,2.7,2,2,3,5,5,5,5,5,5,1,"C",2,1
86,86,2,1,2,3,1,2,1,2,1,1,1,1,4,4,1,4,3,2,3,3,2,5,4,4,5,3,14.8,14.7,3.35,3,2,2,1,4,1,3,3,4,1,1,"C",2,3
87,87,2,1,2,2,2,1,1,3,1,4,1,2,4,4,1,4,4,3,4,4,4,3,2,3,3,1,8.9,1.13,2.67,1.43,2,2,2,5,3,5,5,5,5,1,"C",2,1
88,88,2,1,2,3,2,2,2,1,1,1,1,2,3,4,1,4,4,2,4,5,3,3,4,3,5,1,16.1,2.57,3.3,2.18,2,2,3,5,3,5,5,5,5,1,"C",2,1
89,89,1,1,1,1,1,1,4,1,1,1,2,3,4,4,1,4,3,2,3,2,3,4,4,4,5,3,11.1,7.85,3.1,2.48,2,3,2,5,3,5,5,5,5,1,"C",2,0
90,90,1,1,2,3,2,3,3,1,1,1,1,1,4,3,1,4,3,2,3,2,1,5,4,4,5,3,13.4,18.78,3.32,3.31,2,3,1,2,2,3,2,2,1,1,"C",2,1
91,91,1,1,2,3,2,3,4,1,1,1,1,4,4,4,1,3,3,2,3,2,2,3,3,3,3,2,13.1,12.78,3.45,3.16,2,3,1,3,3,3,3,2,4,1,"C",2,0
92,92,2,1,2,1,1,4,3,3,1,1,1,3,4,4,1,4,5,5,4,5,5,3,1,1,1,1,16.9,1.04,3.59,2.2,2,2,2,5,3,5,5,5,5,1,"C",2,0
93,93,1,1,2,2,1,1,1,2,1,2,1,1,4,4,1,3,1,1,1,1,1,5,5,5,5,3,12.9,19.89,2.96,2.96,2,2,3,5,5,5,5,5,5,1,"C",2,3
94,94,1,1,2,3,2,3,4,1,1,3,1,2,4,4,1,1,4,4,4,4,4,2,1,1,2,1,13.2,0.03,3.05,1.8,1,2,3,4,3,3,4,4,2,1,"C",2,0
95,95,2,1,2,3,1,1,1,3,1,3,1,2,4,4,1,4,1,1,1,1,1,5,5,5,5,3,9.5,19.88,2.76,2.72,2,2,2,5,5,5,4,5,5,1,"C",2,3
96,96,2,1,2,3,1,2,1,3,1,2,1,2,3,4,1,4,2,1,1,2,1,5,5,5,5,3,9.3,19.96,3,2.99,1,3,1,1,1,2,2,1,1,1,"C",2,3
97,97,2,1,2,2,3,3,3,1,1,1,1,1,4,4,1,4,3,2,3,3,1,5,4,5,5,2,15.8,15.68,3.12,2.96,1,3,3,1,1,3,2,2,1,1,"C",2,1
98,98,2,1,2,2,1,1,1,1,1,3,1,4,4,4,1,4,4,5,4,5,4,3,3,3,3,1,11.4,0.72,3,1.74,1,2,2,3,1,3,3,3,1,1,"C",2,1
99,99,2,1,2,3,1,4,3,1,1,2,1,2,4,1,1,4,3,2,3,2,2,5,5,4,5,3,14.3,13.88,2.7,2.46,1,1,3,3,1,2,2,2,1,1,"C",2,3
100,100,1,1,2,3,1,2,2,1,1,1,1,1,2,2,1,4,3,2,3,3,3,3,3,3,2,1,17.3,8.6,3.22,2.61,2,3,1,3,3,5,5,5,3,1,"C",2,1
101,101,2,1,2,3,4,4,3,2,1,2,1,4,4,4,2,4,4,2,3,3,3,4,3,4,4,1,12.7,6.71,2.63,1.86,2,2,1,3,2,3,3,2,2,1,"C",2,1
102,102,2,1,2,3,3,4,1,1,1,2,1,3,4,4,1,4,3,2,3,3,2,5,5,5,5,2,15.7,14.49,3.4,3.24,1,1,3,1,3,3,3,4,4,1,"C",1,0
103,103,1,1,1,3,1,4,4,1,1,1,1,2,4,3,1,4,3,2,3,3,1,3,4,3,3,3,9,11.69,3.16,2.75,1,2,2,1,1,3,3,1,1,1,"C",2,1
104,104,2,1,2,3,1,2,3,1,1,2,1,4,4,3,1,4,4,2,4,3,3,5,4,4,5,1,8.5,11.88,2.09,1.7,1,1,3,1,1,3,3,2,1,1,"C",2,1
105,105,2,1,2,3,1,2,3,1,1,1,1,4,4,4,1,4,3,2,3,2,1,5,5,5,5,3,14.7,17.62,2.86,2.85,2,2,2,1,1,3,2,2,1,1,"C",2,2
106,106,2,1,2,3,1,3,2,1,4,1,1,1,4,4,1,4,3,2,4,3,3,3,4,3,5,2,11.1,13.24,2.75,2.39,1,1,1,1,1,1,1,1,1,1,"C",2,2
107,107,1,1,2,2,1,4,4,4,1,3,1,4,3,2,1,4,3,2,3,3,3,3,3,3,3,2,17.7,15.64,3.8,3.71,2,2,1,4,2,3,4,3,4,1,"C",2,1
108,108,1,1,2,3,1,1,4,1,1,2,1,3,4,3,1,4,1,1,1,1,1,5,5,5,5,3,9.4,19.23,2.61,2.6,2,2,1,1,1,3,1,2,1,1,"C",2,2
109,109,1,1,1,3,1,1,4,1,1,1,1,2,4,4,1,2,1,1,2,2,1,5,3,4,4,3,9,19.4,1.65,1.64,2,3,1,5,3,3,4,5,4,1,"C",2,2
110,110,2,1,2,2,1,3,1,1,1,1,1,1,4,4,1,4,3,2,3,3,3,5,4,5,5,3,9.6,18.05,2.63,2.59,2,1,1,1,1,1,2,1,1,1,"C",2,1
111,111,2,1,1,3,2,3,1,1,1,2,1,2,4,4,1,4,1,1,1,NA,1,5,5,5,5,3,8.2,19.94,2.09,2.09,2,2,3,5,3,5,5,5,5,1,"C",1,4
112,112,1,1,1,3,1,1,2,1,1,3,1,1,4,4,1,3,4,2,4,3,3,3,2,1,2,1,14.8,3.67,2.63,1.64,2,2,2,1,1,3,3,2,3,1,"C",2,1
113,113,1,1,2,2,2,3,3,4,1,1,1,1,4,2,1,4,1,1,1,1,1,5,5,5,5,3,18.8,19.65,3.38,3.37,2,2,1,5,3,3,5,5,5,1,"C",1,3
114,114,1,1,1,3,1,3,3,3,1,1,2,3,4,3,1,3,3,2,3,2,2,5,3,4,5,3,9.2,15.41,2.33,2.24,2,1,3,4,4,3,5,5,5,1,"C",2,1
115,115,1,1,2,2,1,3,4,1,1,1,1,3,4,4,1,2,3,2,4,4,3,3,3,2,2,1,13,1.87,3.08,2.05,1,2,3,5,3,5,4,5,5,1,"C",2,1
116,116,2,1,2,3,1,3,1,2,1,1,1,4,4,4,1,4,3,2,4,4,3,3,3,4,3,2,12,4.33,2.87,1.88,2,2,1,3,1,3,3,2,1,1,"C",2,1
117,117,1,1,2,3,1,1,3,1,1,3,1,2,4,4,1,4,3,2,3,3,2,3,3,2,5,2,7.6,4.25,2.26,1.43,1,3,1,1,1,1,2,2,1,1,"C",2,2
118,118,1,1,2,1,2,4,4,3,1,1,1,3,4,4,1,4,1,1,1,2,1,5,5,5,5,3,10.4,19.03,2.54,2.49,1,1,2,1,1,1,1,1,1,1,"C",1,2
119,119,2,1,2,1,1,2,1,1,1,2,1,4,4,2,1,4,1,1,1,1,1,5,5,5,5,3,14.3,19.91,2.83,2.78,2,2,2,4,4,5,4,4,5,1,"C",1,2
120,120,1,1,2,3,1,2,2,4,1,1,1,2,4,4,1,3,5,5,5,5,5,1,1,1,1,1,11.7,0.09,2.46,1.2,2,2,1,5,3,5,5,5,5,1,"C",2,1
121,121,1,1,2,3,1,2,4,1,1,3,1,2,4,4,1,3,4,2,3,3,3,3,2,2,3,2,11.2,0.12,2.77,1.51,2,1,1,1,1,2,1,2,2,1,"C",2,1
122,122,2,1,1,3,1,3,2,1,1,3,1,2,4,4,1,4,5,5,5,5,5,3,2,3,2,1,12.9,0.67,2.69,1.37,1,1,2,1,1,1,1,1,1,1,"C",2,1
123,123,1,1,2,3,2,4,4,4,1,4,1,2,4,4,1,4,3,2,3,1,1,5,4,4,5,3,11.5,19.34,3.25,3.24,1,2,3,4,1,3,4,2,4,1,"C",1,1
